name,family,path,sha256,decision,evidence,next_action,behavioral_quality,version_timestamp
product-manager-toolkit,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/product-manager-toolkit/SKILL.md,6692c776bd8cd6fe623d081b5a802c43a37604ea6a12ad308246f177206af3c1,do not promote helper,RICE helper accepts invalid impact and creates negative remaining roadmap capacity.,Retain templates provisionally; exclude helper until input/capacity validation is repaired.,not established except named helper probes,2026-09-14 19:26:41 AST
prioritization-craft,Product strategy and measurement,/Users/newmindsgroup/.agents/skills/prioritization-craft/SKILL.md,be6ffdfeb7fea236be370e91fa433d0be78a73ba8d9e17496384b23a8565e654,repair before promotion,Tells agent to use 80 percent confidence when unsure.,Represent unknown confidence explicitly and use sensitivity analysis instead of invented certainty.,not established except named helper probes,2026-09-14 19:26:41 AST
analytics-tracking,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/analytics-tracking/SKILL.md,aa5999600cd992cda2c5bbbc424a0bcfa35be11f1a885aa9f683b044af837b49,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
ab-test-setup,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/ab-test-setup/SKILL.md,66b225a98eddfd4825464b1d90d0763c787cc11c828a7f86d501f3e1a50c18d6,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
metrics-frameworks,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/metrics-frameworks/SKILL.md,7342070cb7dc02d6486ce13805620dec74a7fd0c24e4ce0429d7ff436682f60a,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
metrics-frameworks,Product strategy and measurement,/Users/newmindsgroup/.agents/skills/metrics-frameworks/SKILL.md,7342070cb7dc02d6486ce13805620dec74a7fd0c24e4ce0429d7ff436682f60a,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
okr-frameworks,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/okr-frameworks/SKILL.md,faca20e85b200a79bf8e24f5b0c74ed2f65afa0ed40678f3f46aa82a23960810,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
okr-frameworks,Product strategy and measurement,/Users/newmindsgroup/.agents/skills/okr-frameworks/SKILL.md,faca20e85b200a79bf8e24f5b0c74ed2f65afa0ed40678f3f46aa82a23960810,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
strategy-frameworks,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/strategy-frameworks/SKILL.md,34c1c2febc0d2b6647708706084e0be07cb1542dc9181317de4303dc1246bc47,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
strategy-frameworks,Product strategy and measurement,/Users/newmindsgroup/.agents/skills/strategy-frameworks/SKILL.md,34c1c2febc0d2b6647708706084e0be07cb1542dc9181317de4303dc1246bc47,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
decision-frameworks,Product strategy and measurement,/Users/newmindsgroup/.agents/skills/decision-frameworks/SKILL.md,e64e23999172b969f4483e148f2f1bc57a82b0b30fc5c5055f84a0447fd91784,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
data-storytelling,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/data-storytelling/SKILL.md,c28dab1b9447eb6dd9eba6392fd083e0da9b298450b6743f76ce3824dbf383c0,repair before promotion,Referenced resources/implementation-playbook.md is missing.,Use data-analytics and presentation capabilities while retaining any unique narrative method.,not established except named helper probes,2026-09-14 19:26:41 AST
kpi-dashboard-design,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/kpi-dashboard-design/SKILL.md,4e6cd00f40cb9dbe2abe27ccd6979292d7c7eb333f9dc8dcd12b5fc02377b9fe,repair before promotion,Referenced resources/implementation-playbook.md is missing.,Use current analytics or sales-dashboard workflow as appropriate; do not infer backend readiness.,not established except named helper probes,2026-09-14 19:26:41 AST
office-productivity,Production and operational support,/Users/newmindsgroup/.codex/skills/office-productivity/SKILL.md,8aef6a440f157e973a88259b532714d41ab8e605b30cdf5deb91c6ca0045b946,prefer existing plugin,Broad routing bundle overlaps installed document/spreadsheet/presentation/PDF plugins.,Route document deliverables directly to current format-specific plugins; retain only unique conversion needs.,not established except named helper probes,2026-09-14 19:26:41 AST
doc-coauthoring,Production and operational support,/Users/newmindsgroup/.codex/skills/doc-coauthoring/SKILL.md,2213a0218c56516d4ab5818e09a39c82727818e26188673ca7e1767fa9791778,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
pdf-official,Production and operational support,/Users/newmindsgroup/.codex/skills/pdf-official/SKILL.md,ea31ecf99756565ac314c6b22d212ac2ac843a7c3f82ad434be0a4f91e72b186,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
workflow-automation,Production and operational support,/Users/newmindsgroup/.codex/skills/workflow-automation/SKILL.md,707ff7d5c706fa6f86ea2aa351a589d3692c183a64f446a90f2c721046e863ae,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
n8n-workflow-patterns,Production and operational support,/Users/newmindsgroup/.codex/skills/n8n-workflow-patterns/SKILL.md,e53ef91400fa7ec938d746e07e716ca74c329cabe7511eea6279193f6bb66c27,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
engineering-quality-gate,Core quality and safety,/Users/newmindsgroup/.agents/skills/engineering-quality-gate/SKILL.md,9593344dc1007f500ea786b4b634cf8a320e297386497a6f0c78be2de43a565b,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
visual-and-code-quality-gate,Core quality and safety,/Users/newmindsgroup/.agents/skills/visual-and-code-quality-gate/SKILL.md,022139ffc1ad6a0ea04cea51c65709d75c94611e9c59389831814ca32f8d232e,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
content-quality-gate,Core quality and safety,/Users/newmindsgroup/.agents/skills/content-quality-gate/SKILL.md,1f62f907bb16c546ac9373c588f1dd086453e2efeacf59ff81a0e091a3ecc1d6,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
verification-before-completion,Core quality and safety,/Users/newmindsgroup/.codex/skills/verification-before-completion/SKILL.md,0e64fdb684887fe4c1b9906621d0afcfb054dd20bd5edf10fbebb63165e53b02,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
lint-and-validate,Core quality and safety,/Users/newmindsgroup/.codex/skills/lint-and-validate/SKILL.md,2c3ce9214e57bc8942e52bc0e2cff8f46dc111e89d8bdd1b475d6af17f8cb9c7,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
lint-and-validate,Core quality and safety,/Users/newmindsgroup/.agents/skills/lint-and-validate/SKILL.md,020e61809c6e37c18a46d52f6eee6534b59f22f80fc1f106cd3b181dda1f7fa0,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
systematic-debugging,Core quality and safety,/Users/newmindsgroup/.codex/skills/systematic-debugging/SKILL.md,13ae90c5533afb2e78c78b4b4d77b81950b74486d56d8a9e3ce467740efbde67,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
test-driven-development,Core quality and safety,/Users/newmindsgroup/.codex/skills/test-driven-development/SKILL.md,e32cf31b2f126b8a5645a9560b8680572755ee2c1c81aa100b3d7f2fdc543be6,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
security-auditor,Core quality and safety,/Users/newmindsgroup/.agents/skills/security-auditor/SKILL.md,afe35dda7a4f90b0871864583073bc14276bef53231d3fd34c37612677b92e0c,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
human-voice,Core quality and safety,/Users/newmindsgroup/.agents/skills/human-voice/SKILL.md,17c9e771418b5658e3bcacf5c572f1f33b2ba6c2f5c005749abfdb657972e348,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
avoid-ai-writing,Core quality and safety,/Users/newmindsgroup/.codex/skills/avoid-ai-writing/SKILL.md,33e0d1c7cb330f0ddc218a7fe1c17f603e9ba4e22d3321295da3fa88cb7a3c82,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
avoid-ai-writing,Core quality and safety,/Users/newmindsgroup/.agents/skills/avoid-ai-writing/SKILL.md,4c13e8be9ab8e57533e9a43e081f5ac4e1a4d4b5a83b8ccb8b85b6de22600c94,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
prompt-engineering-expert,Core quality and safety,/Users/newmindsgroup/.codex/skills/prompt-engineering-expert/SKILL.md,ef7657c6366599c8e33efba8397adf35d961e407c88d8fcfd39ef81ff51cd617,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
prompt-engineering-expert,Core quality and safety,/Users/newmindsgroup/.agents/skills/prompt-engineering-expert/SKILL.md,0aaa4feb29fb1a25eaa0957835893e8aabcde61d8c87e5f144cb1b9115696aa2,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
local-llm-expert,Core quality and safety,/Users/newmindsgroup/.codex/skills/local-llm-expert/SKILL.md,61adbc21e663d67ff7dadd2439c4b4c70566279ab5d8463bfd28dbbd2a18fd15,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
local-llm-expert,Core quality and safety,/Users/newmindsgroup/.agents/skills/local-llm-expert/SKILL.md,90272c42a242e5c8625d4c3c74676eb09dca1e04c99030733c005d2a3a23e3bd,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
claude-opus-delegator,Core quality and safety,/Users/newmindsgroup/.codex/skills/claude-opus-delegator/SKILL.md,da170f800730f80af818d322b26ec8585127564a6110537790a43ec5520c2020,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
vetting-third-party-components,Core quality and safety,/Users/newmindsgroup/.agents/skills/vetting-third-party-components/SKILL.md,deb4d4d2332a1c6fb7a0fa0da9d0a2fdc7144578d866cab6bd9fe70409503a55,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
